cen_tract,longitude,latitude,prem,building,t_ded,med_income
1001020801,-86.5,32.4,971,1,2,80625
1001021100,-86.6,32.4,334,2,5,40078
1001021100,-86.6,32.4,270,2,1.25,40078
1003010300,-87.9,30.8,416,2,1.25,51827
1003010701,-87.9,30.7,380,2,1.25,75536
1003010701,-87.9,30.7,1345,2,2,75536
1003010701,-88,30.7,495,3,2,75536
1003010701,-88,30.7,674,2,2,75536
1003010701,-87.9,30.7,334,2,1.25,75536
1003010800,-87.9,30.6,475,1,1.25,53170
1003010903,-87.8,30.6,507,2,1.25,41983
1003010903,-87.8,30.6,1034,1,5,41983
1003010904,-87.6,30.6,175,1,1,41461
1003010905,-87.8,30.5,368,2,1.25,44710
1003010905,-87.8,30.5,509,1,1,44710
1003010905,-87.8,30.5,259,2,1.25,44710
1003010905,-87.8,30.5,380,2,1.25,44710
1003010905,-87.8,30.5,380,1,1.25,44710
1003010905,-87.8,30.5,237,1,1.25,44710
1003010905,-87.8,30.5,1664,2,2,44710
1003010905,-87.8,30.5,379,2,1.25,44710
1003010905,-87.8,30.5,421,2,1.25,44710
1003010905,-87.8,30.5,778,1,3,44710
1003010905,-87.8,30.5,237,2,1.25,44710
1003010905,-87.8,30.5,380,1,1.25,44710
1003010905,-87.8,30.5,380,2,5,44710
1003010905,-87.8,30.5,346,2,1,44710
1003010906,-87.7,30.6,301,1,2,48011
1003010906,-87.7,30.6,380,1,1.25,48011
1003011202,-87.9,30.5,2978,2,2,43952
1003011202,-87.9,30.5,550,2,1.25,43952
1003011202,-87.9,30.5,550,2,1.25,43952
1003011202,-87.9,30.5,470,2,2,43952
1003011202,-87.9,30.5,379,2,2,43952
1003011202,-87.9,30.5,600,2,2,43952
1003011202,-87.9,30.5,363,2,2,43952
1003011202,-87.9,30.5,3446,1,2,43952
1003011202,-87.9,30.5,3446,1,2,43952
1003011202,-87.9,30.5,781,3,1.25,43952
1003011202,-87.9,30.5,1032,2,1.25,43952
1003011202,-87.9,30.5,2096,1,2,43952
1003011202,-87.9,30.5,3446,1,2,43952
1003011202,-87.9,30.5,164,1,1.25,43952
1003011202,-87.9,30.5,384,2,1.25,43952
1003011202,-87.9,30.5,2692,2,2,43952
1003011202,-87.9,30.5,2692,2,2,43952
1003011202,-87.9,30.5,3259,1,2,43952
1003011202,-87.9,30.5,630,2,1.25,43952
1003011202,-87.9,30.5,2789,1,2,43952
1003011202,-87.9,30.5,3446,1,2,43952
1003011202,-87.9,30.5,549,2,1.25,43952
1003011202,-87.9,30.5,5119,1,1.25,43952
1003011202,-87.9,30.5,2934,2,2,43952
1003011202,-87.9,30.5,549,2,1.25,43952
1003011202,-87.9,30.5,114,2,5,43952
1003011202,-87.9,30.5,379,2,1.25,43952
1003011202,-87.9,30.5,2850,1,2,43952
1003011202,-87.9,30.5,2692,1,2,43952
1003011202,-87.9,30.5,380,1,1.25,43952
1003011202,-87.9,30.5,293,1,1.25,43952
1003011202,-87.9,30.5,245,2,1.25,43952
1003011202,-87.9,30.5,300,2,1.25,43952
1003011202,-87.9,30.5,1105,1,1.25,43952
1003011202,-87.9,30.5,279,2,1.25,43952
1003011202,-87.9,30.5,163,2,1.25,43952
1003011202,-87.9,30.5,175,1,5,43952
1003011401,-87.8,30.4,1806,2,5,39891
1003011401,-87.8,30.4,294,2,1.25,39891
1003011401,-87.8,30.4,890,1,2,39891
1003011401,-87.8,30.4,1573,1,1.25,39891
1003011401,-87.8,30.4,549,2,1.25,39891
1003011401,-87.8,30.4,237,2,1.25,39891
1003011401,-87.8,30.4,210,2,1.25,39891
1003011401,-87.8,30.4,315,2,5,39891
1003011401,-87.8,30.4,1740,2,2,39891
1003011401,-87.8,30.4,380,2,1.25,39891
1003011401,-87.8,30.4,1727,2,1.25,39891
1003011401,-87.8,30.4,513,2,1.25,39891
1003011401,-87.8,30.4,806,1,5,39891
1003011401,-87.8,30.4,265,1,1.25,39891
1003011403,-87.6,30.3,184,1,1.25,45374
1003011403,-87.7,30.3,767,2,2,45374
1003011403,-87.7,30.3,546,2,1.25,45374
1003011403,-87.6,30.3,657,1,1.25,45374
1003011403,-87.7,30.3,523,1,1.25,45374
1003011403,-87.6,30.3,404,1,1.25,45374
1003011403,-87.7,30.3,1022,2,5,45374
1003011403,-87.7,30.3,311,2,1.25,45374
1003011403,-87.7,30.3,310,1,1.25,45374
1003011403,-87.7,30.3,1178,2,2,45374
