cen_tract,id,longitude,latitude,prem,t_ded,tcov,value
1001020801,1236708,-86.5,32.4,971,2,81.9,110
1001021100,78001,-86.6,32.4,334,5,145,244
1001021100,584196,-86.6,32.4,270,1.25,217,217
1003010300,711445,-87.9,30.8,416,1.25,240,240
1003010701,502002,-87.9,30.7,380,1.25,250,250
1003010701,716782,-87.9,30.7,1345,2,147,169
1003010701,1049522,-88,30.7,495,2,200,200
1003010701,1229918,-88,30.7,674,2,38.4,250
1003010701,1231344,-87.9,30.7,334,1.25,65,167
1003010800,838245,-87.9,30.6,475,1.25,250,260
1003010903,496911,-87.8,30.6,507,1.25,120,120
1003010903,715912,-87.8,30.6,1034,5,165,165
1003010904,1009882,-87.6,30.6,175,1,100,100
1003010905,13832,-87.8,30.5,368,1.25,250,207.4
1003010905,74270,-87.8,30.5,509,1,100,100
1003010905,74549,-87.8,30.5,259,1.25,160,160
1003010905,74955,-87.8,30.5,380,1.25,250,490
1003010905,75599,-87.8,30.5,380,1.25,250,250
1003010905,194890,-87.8,30.5,237,1.25,250,250
1003010905,417984,-87.8,30.5,1664,2,145,131.8
1003010905,422840,-87.8,30.5,379,1.25,250,250
1003010905,428974,-87.8,30.5,421,1.25,250,250
1003010905,498096,-87.8,30.5,778,3,80,80
1003010905,500211,-87.8,30.5,237,1.25,250,300
1003010905,709700,-87.8,30.5,380,1.25,250,800
1003010905,712650,-87.8,30.5,380,5,250,699
1003010905,843623,-87.8,30.5,346,1,100,115
1003010906,201005,-87.7,30.6,301,2,225,225
1003010906,1230799,-87.7,30.6,380,1.25,250,322.4
1003011202,74535,-87.9,30.5,2978,2,250,250
1003011202,77532,-87.9,30.5,550,1.25,250,575
1003011202,109061,-87.9,30.5,550,1.25,250,600
1003011202,118428,-87.9,30.5,470,2,250,2000
1003011202,153151,-87.9,30.5,379,2,250,950
1003011202,195962,-87.9,30.5,600,2,200,200
1003011202,197656,-87.9,30.5,363,2,250,800
1003011202,416329,-87.9,30.5,3446,2,250,250
1003011202,418956,-87.9,30.5,3446,2,250,250
1003011202,419120,-87.9,30.5,781,1.25,250,250
1003011202,421346,-87.9,30.5,1032,1.25,250,250
1003011202,421781,-87.9,30.5,2096,2,250,250
1003011202,421919,-87.9,30.5,3446,2,250,250
1003011202,421930,-87.9,30.5,164,1.25,134,134
1003011202,422454,-87.9,30.5,384,1.25,250,250
1003011202,422466,-87.9,30.5,2692,2,250,350
1003011202,423977,-87.9,30.5,2692,2,250,250
1003011202,424569,-87.9,30.5,3259,2,250,250
1003011202,425502,-87.9,30.5,630,1.25,250,250
1003011202,426256,-87.9,30.5,2789,2,250,250
1003011202,426519,-87.9,30.5,3446,2,250,250
1003011202,426569,-87.9,30.5,549,1.25,250,250
1003011202,427261,-87.9,30.5,5119,1.25,250,250
1003011202,427559,-87.9,30.5,2934,2,250,250
1003011202,429719,-87.9,30.5,549,1.25,250,300
1003011202,432022,-87.9,30.5,114,5,100,100
1003011202,432233,-87.9,30.5,379,1.25,250,250
1003011202,432866,-87.9,30.5,2850,2,250,250
1003011202,498865,-87.9,30.5,2692,2,250,475
1003011202,499318,-87.9,30.5,380,1.25,250,250
1003011202,499607,-87.9,30.5,293,1.25,200,200
1003011202,502569,-87.9,30.5,245,1.25,100,100
1003011202,502570,-87.9,30.5,300,1.25,150,150
1003011202,775696,-87.9,30.5,1105,1.25,109.9,133
1003011202,836935,-87.9,30.5,279,1.25,250,250
1003011202,968230,-87.9,30.5,163,1.25,125,125
1003011202,1028649,-87.9,30.5,175,5,150,150
1003011401,56404,-87.8,30.4,1806,5,162,162
1003011401,76372,-87.8,30.4,294,1.25,250,324
1003011401,198950,-87.8,30.4,890,2,150,185
1003011401,199284,-87.8,30.4,1573,1.25,150,150
1003011401,418286,-87.8,30.4,549,1.25,250,250
1003011401,498081,-87.8,30.4,237,1.25,250,250
1003011401,498905,-87.8,30.4,210,1.25,208.1,208.1
1003011401,516630,-87.8,30.4,315,5,232,230
1003011401,585225,-87.8,30.4,1740,2,167.2,250
1003011401,586303,-87.8,30.4,380,1.25,250,286
1003011401,714211,-87.8,30.4,1727,1.25,170,170
1003011401,969968,-87.8,30.4,513,1.25,160,160
1003011401,1228363,-87.8,30.4,806,5,182,243
1003011401,1229830,-87.8,30.4,265,1.25,250,250
1003011403,8478,-87.6,30.3,184,1.25,148,148
1003011403,26716,-87.7,30.3,767,2,162,162
1003011403,45292,-87.7,30.3,546,1.25,250,352
1003011403,51541,-87.6,30.3,657,1.25,250,139
1003011403,56282,-87.7,30.3,523,1.25,250,310
1003011403,73768,-87.6,30.3,404,1.25,250,500
1003011403,73939,-87.7,30.3,1022,5,100,100
1003011403,73945,-87.7,30.3,311,1.25,178.2,162
1003011403,74186,-87.7,30.3,310,1.25,250,250
1003011403,74252,-87.7,30.3,1178,2,90.4,90.4
1003011403,74330,-87.6,30.3,530,1.25,250,250
1003011403,74440,-87.7,30.3,706,1.25,250,450
1003011403,74470,-87.6,30.3,413,1.25,250,250
1003011403,74507,-87.7,30.3,381,5,240,240
1003011403,74664,-87.6,30.3,1023,1.25,250,400
1003011403,75287,-87.7,30.3,374,1.25,160,160
1003011403,75716,-87.7,30.3,475,1.25,250,543
1003011403,75724,-87.6,30.3,614,1.25,200,200
1003011403,75805,-87.7,30.3,375,1.25,250,375
1003011403,75883,-87.7,30.3,966,1.25,250,250
1003011403,76103,-87.7,30.3,549,1.25,250,250
1003011403,76159,-87.6,30.3,500,1.25,175,175
1003011403,76649,-87.7,30.3,312,1.25,175,175
1003011403,76760,-87.7,30.3,860,5,170,170
1003011403,76848,-87.7,30.3,825,1.25,250,300
1003011403,111680,-87.7,30.3,3194,2,250,142
1003011403,118382,-87.6,30.3,372,1.25,250,250
1003011403,125031,-87.7,30.3,399,1.25,203,203
1003011403,127793,-87.6,30.3,837,1.25,250,100
1003011403,148859,-87.6,30.3,566,1.25,200,195
1003011403,156022,-87.6,30.3,404,1.25,250,250
