cen_tract,id,longitude,latitude,prem,t_ded,tcov,value
22099020200,579893,-91.9,30.4,1347,2,113,80
22099020200,1049609,-91.9,30.4,754,2,60,61
22099020200,1049636,-91.9,30.4,316,1.25,125,125
22099020200,1231570,-91.9,30.4,309,1.25,116.2,96
22099020200,1233127,-91.9,30.4,334,1.25,147,147
22099020301,427927,-91.9,30.3,520,1.25,156,156
22099020301,429659,-91.9,30.3,240,1,82,82
22099020301,578216,-91.9,30.3,331,5,250,250
22099020301,712370,-91.9,30.3,1155,2,250,250
22099020301,713637,-91.9,30.3,1088,5,150,150
22099020301,967981,-91.9,30.3,858,5,139,139
22099020301,1230399,-91.9,30.3,414,1.25,250,300
22099020301,1235993,-91.9,30.3,1073,1.25,137,245
22099020302,141615,-91.8,30.3,1341,2,70.4,60
22099020302,198274,-91.8,30.3,534,1.25,250,250
22099020302,422211,-91.8,30.3,357,1,70,70
22099020302,425396,-91.8,30.3,1148,1.25,196,196
22099020302,430747,-91.8,30.3,803,1.5,85,85
22099020302,433263,-91.8,30.3,365,1,80,120
22099020302,519967,-91.8,30.3,831,1.5,75,110
22099020302,1049674,-91.8,30.3,390,1.25,125,125
22099020302,1232559,-91.8,30.3,440,1,69,69
22099020400,23270,-91.9,30.2,1705,5,125,125
22099020400,201233,-91.9,30.2,1265,5,170,175
22099020400,201720,-91.9,30.2,1516,2,180,180
22099020400,422325,-91.8,30.2,295,5,192,192
22099020400,866637,-91.9,30.2,588,1.25,121,121
22099020400,967961,-91.9,30.2,380,1.25,208,208
22099020400,968257,-91.9,30.2,319,1.5,150,150
22099020400,1048858,-91.9,30.2,1113,2,150,150
22099020400,1234358,-91.9,30.2,1213,1.25,160,160
22099020600,202357,-91.9,30.1,928,5,208,208
22099020600,427866,-91.9,30.1,481,1.25,250,370
22099020800,866135,-91.8,30.1,393,2,250,273
22099020800,866136,-91.8,30.1,275,1,67,67
22099021000,432996,-91.2,29.8,1218,2,250,250
22099021000,866675,-91.2,29.8,1593,5,174,174
22099021000,1049278,-91.2,29.8,655,5,250,250
22099021000,1232694,-91.2,29.8,828,5,250,600
22101040300,49266,-91.2,29.7,3344,5,250,410
22101040300,424802,-91.2,29.7,1214,2,120,175
22101040300,431745,-91.2,29.7,671,1.5,57,142.7
22101040300,434184,-91.2,29.7,860,5,129,129
22101040300,579552,-91.2,29.7,1210,2,158,158
22101040300,580325,-91.2,29.7,373,1.5,250,395
22101040300,710189,-91.2,29.7,585,2,250,250
22101040300,710404,-91.2,29.7,820,2,80,78
22101040300,715237,-91.2,29.7,523,1.25,250,250
22101040300,716071,-91.2,29.7,986,2,250,250
22101040300,1048412,-91.2,29.7,571,2,150,175
22101040300,1048915,-91.2,29.7,1123,3,118,118
22101040300,1049118,-91.2,29.7,890,5,250,292
22101040300,1049125,-91.2,29.7,583,5,115,115
22101040300,1049325,-91.2,29.7,816,5,172,169
22101040300,1049344,-91.2,29.7,863,5,216,168.5
22101040300,1049644,-91.2,29.7,1289,5,210,210
22101040300,1230598,-91.2,29.7,382,3,90,90
22101040300,1234921,-91.2,29.7,556,1.25,151,188.66
22101040300,1235797,-91.2,29.7,301,1.25,250,350
22101040800,200445,-91.3,29.7,613,5,245,245
22101040800,711580,-91.3,29.7,274,2,105,105
22101040800,1049264,-91.3,29.7,510,4,240,250
22101040900,578934,-91.4,29.7,1006,5,219,219
22101041000,420306,-91.5,29.9,225,1,100,100
22101041000,432618,-91.6,29.9,658,2,70,151
22101041000,432910,-91.5,29.9,320,1,75.9,75.9
